"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","556","Step 1: Authenticate and Fetch Bearer Token","","2026-06-07","passed","2026-06-07","ReqRes API E2E Management Pipeline","reqres-e2e.spec.js","",""
"","96","Step 4: Purge System Record and Clean Environment","","2026-06-07","passed","2026-06-07","ReqRes API E2E Management Pipeline","reqres-e2e.spec.js","",""
"","186","Step 3: Modify Record Information via PUT","","2026-06-07","passed","2026-06-07","ReqRes API E2E Management Pipeline","reqres-e2e.spec.js","",""
"","109","Step 2: Create a New System Record","","2026-06-07","passed","2026-06-07","ReqRes API E2E Management Pipeline","reqres-e2e.spec.js","",""
